001	特別	1947/05/20	1947/12/09	204
002	通常	1947/12/10	1948/07/05	209
003	臨時	1948/10/11	1948/11/30	51
004	通常	1948/12/01	1948/12/23	23
005	特別	1949/02/11	1949/05/31	110
006	臨時	1949/10/25	1949/12/03	40
007	通常	1949/12/04	1950/05/02	150
008	臨時	1950/07/12	1950/07/31	20
009	臨時	1950/11/21	1950/12/09	19
010	通常	1950/12/10	1951/06/05	178
011	臨時	1951/08/16	1951/08/18	3
012	臨時	1951/10/10	1951/11/30	52
013	通常	1951/12/10	1952/07/31	235
014	通常	1952/08/26	1952/08/28	3
015	特別	1952/10/24	1953/03/14	142
016	特別	1953/05/18	1953/08/10	85
017	臨時	1953/10/29	1953/11/07	10
018	臨時	1953/11/30	1953/12/08	9
019	通常	1953/12/10	1954/06/15	188
020	臨時	1954/11/30	1954/12/09	10
021	通常	1954/12/10	1955/01/24	46
022	特別	1955/03/18	1955/07/30	135
023	臨時	1955/11/22	1955/12/16	25
024	通常	1955/12/20	1956/06/03	167
025	臨時	1956/11/12	1956/12/13	32
026	通常	1956/12/20	1957/05/19	151
027	臨時	1957/11/01	1957/11/14	14
028	通常	1957/12/20	1958/04/25	127
029	特別	1958/06/10	1958/07/08	29
030	臨時	1958/09/29	1958/12/07	70
031	通常	1958/12/10	1959/05/02	144
032	臨時	1959/06/22	1959/07/03	12
033	臨時	1959/10/26	1959/12/27	63
034	通常	1959/12/29	1960/07/15	200
035	臨時	1960/07/18	1960/07/22	5
036	臨時	1960/10/17	1960/10/24	8
037	特別	1960/12/05	1960/12/22	18
038	通常	1960/12/26	1961/06/08	165
039	臨時	1961/09/25	1961/10/31	37
040	通常	1961/12/09	1962/05/07	150
041	臨時	1962/08/04	1962/09/02	30
042	臨時	1962/12/08	1962/12/23	16
043	通常	1962/12/24	1963/07/06	195
044	臨時	1963/10/15	1963/10/23	9
045	特別	1963/12/04	1963/12/18	15
046	通常	1963/12/20	1964/06/26	190
047	臨時	1964/11/09	1964/12/18	40
048	通常	1964/12/21	1965/06/01	163
049	臨時	1965/07/22	1965/08/11	21
050	臨時	1965/10/05	1965/12/13	70
051	通常	1965/12/20	1966/06/27	190
052	臨時	1966/07/11	1966/07/30	20
053	臨時	1966/11/30	1966/12/20	21
054	通常	1966/12/27	1966/12/27	1
055	特別	1967/02/15	1967/07/21	157
056	臨時	1967/07/27	1967/08/18	23
057	臨時	1967/12/04	1967/12/23	20
058	通常	1967/12/27	1968/06/03	160
059	臨時	1968/08/01	1968/08/10	10
060	臨時	1968/12/10	1968/12/21	12
061	通常	1968/12/27	1969/08/05	222
062	臨時	1969/11/29	1969/12/02	4
063	特別	1970/01/14	1970/05/13	120
064	臨時	1970/11/24	1970/12/18	25
065	通常	1970/12/26	1971/05/24	150
066	臨時	1971/07/14	1971/07/24	11
067	臨時	1971/10/16	1971/12/27	73
068	通常	1971/12/29	1972/06/16	171
069	臨時	1972/07/06	1972/07/12	7
070	臨時	1972/10/27	1972/11/13	18
071	特別	1972/12/22	1973/09/27	280
072	通常	1973/12/01	1974/06/03	185
073	臨時	1974/07/24	1974/07/31	8
074	臨時	1974/12/09	1974/12/25	17
075	通常	1974/12/27	1975/07/04	190
076	臨時	1975/09/11	1975/12/25	106
077	通常	1975/12/27	1976/05/24	150
078	臨時	1976/09/16	1976/11/04	50
079	臨時	1976/12/24	1976/12/28	5
080	通常	1976/12/30	1977/06/09	162
081	臨時	1977/07/27	1977/08/03	8
082	臨時	1977/09/29	1977/11/25	58
083	臨時	1977/12/07	1977/12/10	4
084	通常	1977/12/19	1978/06/16	180
085	臨時	1978/09/18	1978/10/21	34
086	臨時	1978/12/06	1978/12/12	7
087	通常	1978/12/22	1979/06/14	175
088	臨時	1979/08/30	1979/09/07	9
089	特別	1979/10/30	1979/11/16	18
090	臨時	1979/11/26	1979/12/11	16
091	通常	1979/12/21	1980/05/19	151
092	特別	1980/07/17	1980/07/26	10
093	臨時	1980/09/29	1980/11/29	62
094	通常	1980/12/22	1981/06/06	167
095	臨時	1981/09/24	1981/11/28	66
096	通常	1981/12/21	1982/08/21	244
097	臨時	1982/11/26	1982/12/25	30
098	通常	1982/12/28	1983/05/26	150
099	臨時	1983/07/18	1983/07/23	6
100	臨時	1983/09/08	1983/11/28	82
101	特別	1983/12/26	1984/08/08	227
102	通常	1984/12/01	1985/06/25	207
103	臨時	1985/10/14	1985/12/21	69
104	通常	1985/12/24	1986/05/22	150
105	臨時	1986/06/02	1986/06/02	1
106	特別	1986/07/22	1986/07/25	4
107	臨時	1986/09/11	1986/12/20	101
108	通常	1986/12/29	1987/05/27	150
109	臨時	1987/07/06	1987/09/19	76
110	臨時	1987/11/06	1987/11/11	6
111	臨時	1987/11/27	1987/12/12	16
112	通常	1987/12/28	1988/05/25	150
113	臨時	1988/07/19	1988/12/28	163
114	通常	1988/12/30	1989/06/22	175
115	臨時	1989/08/07	1989/08/12	6
116	臨時	1989/09/28	1989/12/16	80
117	通常	1989/12/25	1990/01/24	31
118	特別	1990/02/27	1990/06/26	120
119	臨時	1990/10/12	1990/11/10	30
120	通常	1990/12/10	1991/05/08	150
121	臨時	1991/08/05	1991/10/04	61
122	臨時	1991/11/05	1991/12/21	47
123	通常	1992/01/24	1992/06/21	150
124	臨時	1992/08/07	1992/08/11	5
125	臨時	1992/10/30	1992/12/10	42
126	通常	1993/01/22	1993/06/18	148
127	特別	1993/08/05	1993/08/28	24
128	臨時	1993/09/17	1994/01/29	135
129	通常	1994/01/31	1994/06/29	150
130	臨時	1994/07/18	1994/07/22	5
131	臨時	1994/09/30	1994/12/09	71
132	通常	1995/01/20	1995/06/18	150
133	臨時	1995/08/04	1995/08/08	5
134	臨時	1995/09/29	1995/12/15	78
135	臨時	1996/01/11	1996/01/13	3
136	通常	1996/01/22	1996/06/19	150
137	臨時	1996/09/27	1996/09/27	1
138	特別	1996/11/07	1996/11/12	6
139	臨時	1996/11/29	1996/12/18	20
140	通常	1997/01/20	1997/06/18	150
141	臨時	1997/09/29	1997/12/12	75
142	通常	1998/01/12	1998/06/18	158
143	臨時	1998/07/30	1998/10/16	79
144	臨時	1998/11/27	1998/12/14	18
145	通常	1999/01/19	1999/08/13	207
146	臨時	1999/10/29	1999/12/15	48
147	通常	2000/01/20	2000/06/02	135
148	特別	2000/07/04	2000/07/06	3
149	臨時	2000/07/28	2000/08/09	13
150	臨時	2000/09/21	2000/12/01	72
151	通常	2001/01/31	2001/06/29	150
152	臨時	2001/08/07	2001/08/10	4
153	臨時	2001/09/27	2001/12/07	72
154	通常	2002/01/21	2002/07/31	192
155	臨時	2002/10/18	2002/12/13	57
156	通常	2003/01/20	2003/07/28	190
157	臨時	2003/09/26	2003/10/10	15
158	特別	2003/11/19	2003/11/27	9
159	通常	2004/01/19	2004/06/16	150
160	臨時	2004/07/30	2004/08/06	8
161	臨時	2004/10/12	2004/12/03	53
162	通常	2005/01/21	2005/08/08	200
163	特別	2005/09/21	2005/11/01	42
164	通常	2006/01/20	2006/06/18	150
165	臨時	2006/09/26	2006/12/19	85
166	通常	2007/01/25	2007/07/05	162
167	臨時	2007/08/07	2007/08/10	4
168	臨時	2007/09/10	2008/01/15	128
169	通常	2008/01/18	2008/06/21	156
170	臨時	2008/09/24	2008/12/25	93
171	通常	2009/01/05	2009/07/21	198
172	特別	2009/09/16	2009/09/19	4
173	臨時	2009/10/26	2009/12/04	40
174	通常	2010/01/18	2010/06/16	150
175	臨時	2010/07/30	2010/08/06	8
176	臨時	2010/10/01	2010/12/03	64
177	通常	2011/01/24	2011/08/31	220
178	臨時	2011/09/13	2011/09/30	18
179	臨時	2011/10/20	2011/12/09	51
180	通常	2012/01/24	2012/09/08	229
181	臨時	2012/10/29	2012/11/16	19
182	特別	2012/12/26	2012/12/28	3
183	通常	2013/01/28	2013/06/26	150
184	臨時	2013/08/02	2013/08/07	6
185	臨時	2013/10/15	2013/12/08	55
186	通常	2014/01/24	2014/06/22	150
187	臨時	2014/09/29	2014/11/21	54
188	特別	2014/12/24	2014/12/26	3
189	通常	2015/01/26	2015/09/27	245
190	通常	2016/01/04	2016/06/01	150
191	臨時	2016/08/01	2016/08/03	3
192	臨時	2016/09/26	2016/12/17	83
193	通常	2017/01/20	2017/06/18	150
194	臨時	2017/09/28	2017/09/28	1
195	特別	2017/11/01	2017/12/09	39
196	通常	2018/01/22	2018/07/22	182
197	臨時	2018/10/24	2018/12/10	48
